WORD_1993,FREQUENCY_1993,WORD_2016,FREQUENCY_2016
new,32412,new,11358
said,21811,york,5876
york,17100,1/3,4713
mr,15538,years,4287
one,13681,mr,3981
last,12706,2016,3674
would,11970,family,3545
yesterday,11674,said,3515
two,11350,city,3275
today,9934,president,3140
president,9884,two,2945
years,9713,may,2850
first,9638,one,2824
city,8565,many,2752
year,7734,first,2694
american,7645,â€”,2406
united,7201,wife,2305
like,7039,day,2289
company,6980,home,2285
time,6785,school,2280
million,6522,life,2185
people,6368,world,2180
street,6212,would,2077
state,6187,made,2075
week,6149,trump,2063
three,5977,people,2016
may,5799,university,1976
states,5790,american,1942
university,5619,state,1872
also,5577,also,1860
percent,5508,ny,1836
many,5463,died,1814
editor,5195,children,1771
national,5173,time,1734
world,5161,united,1732
clinton,5136,beloved,1692
could,5135,year,1669
day,4920,husband,1648
mrs,4839,survived,1626
home,4698,last,1614
1,4630,three,1609
even,4526,board,1586
house,4507,states,1583
officials,4470,donald,1551
night,4362,times,1547
made,4316,college,1524
center,4273,like,1505
since,4261,former,1488
school,4230,service,1471
federal,4220,could,1471
